row ID,Usage,cleaned_message,date,post_id,channel_name,msg_id
13,Public,Фронтовое творчество бойцов 40 гвардейской бригады морской пехоты Тихоокеанского флота. Пробирает до глубины души🙏 ⚓️ t.me/TOF_VMF,2023-12-24 11:11:25+00:00,BattleSailor13/7479,BattleSailor13,7479
14,Public,🇺🇦☠️А вот и одно из многочисленных кладбищ уничтоженной НАТОвской техники на просторах Украины!💪 #ВСУ #ЗСУ #Техника #НАТО #Кладбище #Украина #СВО,2023-12-24 14:09:48+00:00,Ukr_G_M/31016,Ukr_G_M,31016
15,Public,"""Наши глаза"" всё видят: из Севастопольской бухты вышел в море противодиверсионный катер проекта 21980 ""Грачонок"" Нарезает круги у входа в бухту. Информация оперативно передана ВСУ. 📷наш подписчик Прислать информацию, фото, видео (анонимно): ➡️@crimeanwind_news_bot",2024-01-06 09:55:43+00:00,Crimeanwind/51563,Crimeanwind,51563
16,Public,❗️⚡️Поступают сообщения об атаке украинских БПЛА в районе Привокзальной площади в Донецке. Будьте осторожнее! @akutin_dpr_ru,2024-02-06 07:27:53+00:00,akutin_dpr_ru/28919,akutin_dpr_ru,28919
17,Public,"По итогам обсуждений, складывается мнение, что лидар поставили для борьбы с противодроновыми сетками и активной защитой. Лазер используется для определения расстояния до цели и подрыв производится не контактно, а на расстоянии. Видимо, в новых Ланцетах в качестве поражающего элемента выступает не кумулятивная струя, а так называемое ударное ядро, которым и пробивается все, что стоит на пути - сетки, заслоны и сама броня. Такая технология используется в некоторых минах, так работает ПТРК NLAW. Говорят, существуют даже какие-то зенитные средства. Вероятно, есть пока еще недочеты с правильным определением дальности до цели и дистанции подрыва. Возможно поэтому и появляются сообщения о проблемах с поражением. https://t.me/razumiestsila/7692",2023-11-10 07:08:06+00:00,bplainfo/1842,bplainfo,1842
18,Public,"🪂Новый тип мин обнаружен в зоне проведения СВО. В сети распространяется фото с предполагаемыми новыми минами. Судя по всему это НАТОвский новый тип мин, этакий аналог ""лепестка"" приближенный максимально по маскировке к условиям местности с нажимным датчиком. Обнаружено данное устройство в 15-20 км от линии боевых столкновений, что может означать доставку СВУ ракетами или дронами с большим радиусом действия. Следы на корпусе возможно доказывают серийность производства. Будьте внимательны! Подписаться | Предложить новость",2023-11-25 10:02:56+00:00,tankistrossii100/2165,tankistrossii100,2165
19,Public,"#АвиасалонМАКС в рубрике #ВысшийПилотаж продолжает серию видеозарисовок, посвящённых выполнению различных фигур высшего пилотажа. Все эти трюки выполнены в разные годы участниками Международных авиационно-космических салонов. Сегодня мы увидим, как наши прославленные асы демонстрируют ""Чакру Фролова"". ✈️ МАКСимум авиации: Telegram & Сайт МАКС-2024",2023-11-05 12:02:05+00:00,aviasalonmaks/9778,aviasalonmaks,9778
20,Public,❕ Харьковская область (приграничье) Сообщается о прилете по военному объекту ВСУ. Воздушная тревога не звучала. Предварительно отработала наша тактическая авиация - фронтовые бомбардировщики Су-24 и Су-34.,2024-01-23 12:51:44+00:00,ukraina_ru/185659,ukraina_ru,185659
21,Public,Уничтожение объектов ВСУ 240-мм корректируемыми минами «Смельчак». Кадры: @vdd98 Военный Осведомитель,2024-02-22 00:45:11+00:00,milinfolive/116797,milinfolive,116797
22,Public,"Владимир Путин в своем послание уточняет, что в войска поставляется ракетный комплекс «Сармат», который должен сменить советский ядерный щит «Воеводу», он производился в Днепропетровске (Днепр) или как часто его называют «Сатана». Так вот источники ВЧК-ОГПУ рассказывают, что на сегодняшний день Красноярский машиностроительный завод испытывает серьезную нехватку ЭКБ (электронной компонентной базы) для производства стратегических ракет. Электроника нового ракетного комплекса РС 28 (Сармат) имеет во многом зарубежное происхождение и из-за санкций испытывает серьезнейший дефицит. Сейчас все силы брошены, чтобы хоть как то исправить ситуацию с поставками санкционной электроники, даже жертвуют производством в Сибири ПВО комплексов С 400, все для Сармата. Также не решены многие проблемы, было малое количество успешных испытательных пусков. Постановка на боевое дежурство осенью 23 года это пока кредит доверия, ракет по пальцам можно пересчитать и неизвестно, как они себя поведут при пусках.",2024-02-29 14:31:34+00:00,vchkogpu/46190,vchkogpu,46190
23,Public,ПК «Крапива» и стрельба танков с закрытых позиций Переведено неофициально на русский язык в январе 2023 года. #народныйперевод @svo_institute,2023-01-04 13:42:09+00:00,svo_institute/84,svo_institute,84
24,Public,"Новые снаряды с повышенной дальностью для «Гиацинтов» получили российские артиллеристы Дальность стрельбы превышает 30 километров. Такие снаряды - «новая версия этого года», сообщил «Звезде» замкомандира взвода с позывным Мамура. «По своим тактико-техническим характеристикам осколочное поражение больше и дальность стрельбы увеличена на несколько километров», - отметил российский боец. @zvezdanews",2023-12-23 02:10:15+00:00,boris_rozhin/107172,boris_rozhin,107172
25,Public,"Доброе утро, друзья 🖐️ Сделаем сегодня день поддержки наших ребят. Ссылка на реквизиты ниже 👇 инженеры и саперы ждут нас. https://t.me/inzheneryChMFlot/20651 Всем хорошего дня✊ Хотите поделиться фото/видео, статьей, разработкой - к нам в бот @AdmiralChMFlot_bot Анонимность (если вам нужно) гарантируем Инженеры ЧФ 🇷🇺 ⚓️- подпишись",2024-02-18 05:01:55+00:00,inzheneryChMFlot/21524,inzheneryChMFlot,21524
26,Public,"Кадры удара ЛМУРом по наблюдательной вышке, используемой ВСУ Российский боевой вертолет выпустил легкую многоцелевую управляемую ракету по высокому промышленному объекту, который ВСУ использовали для наблюдения, снайперского огня и работы ПТРК. @btr80",2023-11-16 17:43:01+00:00,boris_rozhin/104011,boris_rozhin,104011
27,Public,🔥 Результат прилёта по располаге укропов. Уничтожено: БТР-80 и 2 единицы автомобильной техники #демилитаризация идёт планово! @stepnoy_veter,2024-01-11 13:03:02+00:00,stepnoy_veter/4966,stepnoy_veter,4966
28,Public,"Первые тесты револьверной серии сбросов на четыре отсека под груз диаметром до 40 мм, и модель прототипа на шесть отсеков с максимальным диаметром груза 30 мм. Данные сбросы хорошо подходят для FPV квадрокоптеров с грузоподъёмностью до 3 кг. Удлиненный вариант, например, может сбросить больше 1000 листовок с напоминанием того, что стало с теми кто выступал против России в прошлом, а так же предложением сложить оружие и воспользоваться гуманитарной частотой. Вместе мы сила ! 🇷🇺",2023-07-25 23:49:06+00:00,KBPribors71/25,KBPribors71,25
29,Public,"НОВАЯ ПЛАНИРУЮЩАЯ АВИАБОМБА «ДРЕЛЬ». МЫ НАЧНЁМ ЕЁ АКТИВНОЕ ПРИМЕНЕНИЕ В ЭТОМ ГОДУ Испытания завершены, все готово к серийному производству. «Дрель» — кассетная планирующая бомба, которая управляется системой ГЛОНАСС. Основной носитель Су-57. Радиус действия от 30 до 50 км. Внутри «Дрели» — 15 самонаводящихся боевых элементов, предназначенных для уничтожения бронетанковой техники, наземных радиолокационных станций, пунктов управления, энергетических установок и зенитных ракетных комплексов. «Дрель» — это относительная новинка. Разработана в 90-х, испытана в 2016-м, ожидалась в войсках в 2018-м. О причинах торможения производства молчат. «Ростех» расшевелил тему. Информация о применении «Дрели» в СВО закрыта, но сообщается, что совсем скоро начнем бомбить ею по-взрослому. https://t.me/news_engineering/9401",2024-01-10 12:43:01+00:00,Sladkov_plus/9519,Sladkov_plus,9519
30,Public,"#вороже Розмірковують, як ми працюємо на такі відстані. Нам теж цікаво 😁 Одна из тактик дальней заброски фпв. ФПВ с зарядом относится маточным дроном а-ля яга на максимальную дистанцию и высоту. Это позволяет фпв с минимальными затратами энергии достичь цели. Маточный дрон может теперь выступать ретранслятором. В последние дни участились сообщения про удары фпв в нашем тылу, за 20-30 км от лбс. Делаться это может или так, или запуском уже известных, управляемых через мобильные сети дронов. Но во втором случае нужен шпигун в тылу. Поскольку обломков этих дронов нам ещё никто не показал, выводы сделать не можем. Только предполагаем. Telegram 💬 | Сайт 🌐 | Підтримати🎁",2023-11-20 14:30:00+00:00,M2fpv/473,M2fpv,473
31,Public,"Будни разведчиков армейского спецназа, которые работали в составе ВПШГ. Видео от нашего друга. КСпН",2024-03-14 18:36:40+00:00,okspn/29966,okspn,29966
32,Public,"И про обучение немного... Один из тг-каналов опубликовал сообщение, скрин которого висит выше. Владелец канала - человек известный и человек очень правильный, но речь не о нём сейчас. Как правильно заметил другой хороший человек - ""Вот что бывает, когда вместо чтения Наставления по пулемету, люди начинают учить стрельбу из пулемёта очередями стоя..."" Единственная ситуация, при которой эту тягу можно поломать - это не отводить её вперёд после заряжания, причём делать это регулярно. А потом пулемётчик смотрит на тебя глазами рыбки ""да это не я, это он, это он сам!"". Учите людей. Учите их по нормальному. Рассылайте всем наставления на телефоны, печатайте и раздавайте наставления в виде книжек или отдельных листов. Иначе никаких складов службы РАВ не хватит, чтобы победить дремучий долбоебизм. 🤐🤐🤐",2024-01-06 11:04:39+00:00,bigbattlepanda/9540,bigbattlepanda,9540
33,Public,"Ликбез. Продолжение темы броне и спецтехники. Руководство по эксплуатации на ГАЗ-233114 ""Тигр"". Добавляйте в избранное, изучайте 🤙 См. комментарии. #ликбез",2024-01-04 07:35:01+00:00,rosgvardeez/6662,rosgvardeez,6662
34,Public,"КАДРЫ БОЯ. Наши идут вперёд! Взято ещё несколько мощных позиций. Видео штурма и зачистки. На кадрах есть, как одного врага ранили и перевязывают (он выжил), другого ликвидировали. Ну, видно так себе - большое расстояние. Не выкладывал это оперативно, так что видео можно считать архивным. Наши уже намного дальше этого места. На всякий случай и точное направление не скажу. Военная тайна. Но вот именно так наши сейчас забирают окопы - при поддержке и наблюдении с воздуха. Дроны бьют врага буквально в нескольких метрах от наших штурмовиков. Точность позволяет. И штурмовики - просто супер!🔥 @dolg_z",2024-02-21 19:20:28+00:00,Ratnik2nd/5018,Ratnik2nd,5018
35,Public,⚠️📢 Зафиксирован обстрел со стороны ВФУ по направлению: ▶️17:20 - н.п. Галицыновка - г. Донецк (Куйбышевский район): выпущено 4 снаряда калибром 155 мм. @DNR_SCKK,2024-02-17 19:54:54+00:00,DonbassYasinovatayanaliniiOgnia/49516,DonbassYasinovatayanaliniiOgnia,49516
36,Public,"Успешный пуск баллистической межконтинентальной ракеты «Булава» из акватории Белого моря. Испытания проводит подводный крейсер «Император Александр III». Цель на полигоне Кура на Камчатке. Все прошло в штатном режиме. На вооружение субмарины 16 ракет. «Булава» может нести несколько гиперзвуковых ядерных блоков. После испытаний военные примут решение о приеме крейсера в состав ВМФ. Новейшая подлодка «Император Александр III» относится к четвертому поколению. Серия этих субмарин станет основой морских стратегических ядерных сил на ближайшие десятилетия, об этом заявляли в Минобороны.",2023-11-05 15:59:00+00:00,news_1tv/25301,news_1tv,25301
37,Public,"Украинский специалист разбирает реактивный снаряд РСЗО ""Смерч"" с кассетными суббоеприпасами. Затем их используют для сброса с дронов. Если разборка снаряда от ""Смерча"" пройдёт успешно.",2023-12-21 07:15:02+00:00,WarDonbass/132749,WarDonbass,132749
38,Public,"🦇На Купянском направлении выявлены дополнительные наблюдательные посты ПВО ВФУ. 📌На ряде участков противник выставил дополнительные посты обнаружения воздушных целей. На наблюдательных пунктах несут службу парные наряды, у которых на вооружении оптические средства обнаружения и радиостанции. Основная задача военнослужащих – своевременное обнаружение воздушных целей и передача информации на пункт управления. Средств для поражения воздушных целей у таких расчетов не выявлено. 📍Данная информация получена из собственных источников, и может отличаться от официальных данных. 📱 @marochkolive",2023-11-02 07:16:36+00:00,Politnavigator/134526,Politnavigator,134526
39,Public,"Основатель пропагандистского канала «Ты охуеешь, но это ДНР» танкист Глеб наконец-то охуел сам, и больше уже не будет писать посты @kazansky2017",2024-01-31 11:15:37+00:00,kazansky2017/10133,kazansky2017,10133
40,Public,"Инженеры 155 бригады ТОФ в деле💪 Боец с позывным ""Джамбо"" перед задачей. Напишите приветы! Он обязательно прочитает! Подпишись🇷🇺Позывной Чуба🇷🇺",2024-01-26 07:19:02+00:00,Primorye_za/5078,Primorye_za,5078
41,Public,"Краткая информационная сводка за зону ответственности Группировки войск ""Днепр"". Приморское направление: Продолжают свою работу ВКС и армейская авиация. Уничтожен ПУ БпЛА. Артиллерией поражены ПВД, 4 лодки, 3 станции РЭБ, 6 ПУ БпЛА. Уничтожены 2 орудия, миномет, станция РЭР. Ланцетом уничтожена артиллерийская позиция. FPV-дронами и сбросами поражены 2 блиндажа и ПУ БпЛА. Криворожское направление: Артиллерией поражены НП, станция РЭБ, 2 позиции артиллерии, 5 ПУ БпЛА. Уничтожен ПВД. Барражирующим боеприпасом ""Куб"" уничтожены 2 позиции артиллерии. FPV-дронами и сбросами поражены 2 антенны, ретранслятор, 3 автомобиля. Энергодарское направление: Артиллерией поражены 2 ПВД, 6 НП, 2 артиллерийских позиции. ""Ланцетом"" уничтожены 2 позиции артиллерии. FPV-дронами и сбросами поражены: ПВД, 2 НП, 2 блиндажа. Очаковское направление: Артиллерией поражены 6 ПВД, позиция артиллерии, 3 НП, ПУ БпЛА. ""Ланцетом"" уничтожено плавсредство с десантом. FPV-дронами и сбросами поражены 5 ПВД. Уничтожен автомобиль. Ореховское направление Работает армейская, штурмовая и оперативно-тактическая авиация, удары нанесены по 18 ПВД. Артиллерией поражены 7 ПВД, 7 НП, 3 ПУ БпЛА. Уничтожены 2 орудия и миномет. ""Ланцетом"" уничтожен танк и позиция артиллерии. FPV-дронами и сбросами поражены 3 ББМ, 4 блиндажа. Уничтожена ББМ и АГС-17 противника. Противник испытывает снарядный голод. Значительный перевес в количестве боеприпасов позволяет наносить значительные потери без прямых боестолкновений. Командование противника вынуждено беречь технику и личный состав, в связи с чем позиции предпочитают сдавать. Попытки ротации и десантов фактически прекращены. Согласно радиоперехватам, растет количество отказников. Потери противника в зоне ответственности группировки: до 85 человек, 59 БпЛА, 4 лодки, ББМ, 5 орудий и минометов , 4 автомобиля. Нанесены удары по более 35 ПВД. Группировка войск ""Днепр"".",2024-02-28 11:37:27+00:00,Dnepro_Rub/2144,Dnepro_Rub,2144
42,Public,"Бомбардировка дронами-камикадзе «ВТ-40» пехоты и позиций укронацистов. Много груз 200. ZA Брянск! ZA Донецк! ""Судоплатов""",2024-01-02 11:28:03+00:00,swodki/336528,swodki,336528
43,Public,🇷🇺🇺🇦Уничтожение артиллерией склада боеприпасов в Бугроватке Харьковской области @natoptishh Подписаться на канал,2024-01-22 18:49:48+00:00,warhistoryalconafter/143399,warhistoryalconafter,143399
44,Public,"Запасов снарядов для украинской ПВО хватит лишь до марта 2024 года. Об этом пишет The New York Times со ссылкой на американских чиновников. «Украинские войска измотаны, им не хватает оружия и боеприпасов. Системы противовоздушной обороны, имеющие решающее значение для защиты гражданского населения от российских ракет, неуклонно истощаются из-за повторяющихся бомбардировок», – также говорится в статье.",2024-02-09 21:19:01+00:00,rusbrief/199102,rusbrief,199102
45,Public,"Окропляющий танки священник под сюиту Свиридова ""Время вперед""? Наше уважение! Просто боевая литания какая-то, слава Императору! Отдельно отметим оснащение танков противодронными серийными козырьками, которые были показаны на ""Армии-2023"", а любителям меловых надписей и натанковой живописи можно погадать по знакам на пушке) #танки #Россия https://t.me/rostecru/6464",2023-10-11 06:36:19+00:00,panzwaffle/2340,panzwaffle,2340
46,Public,🇷🇺🇺🇦Пресс-служба ЦАХАЛ публикует новое видео с видеофиксацией наземных боёв в Хан-Юнисе. Подписаться на канал,2023-12-22 04:44:18+00:00,warhistoryalconafter/138228,warhistoryalconafter,138228
47,Public,"🇷🇺Нужные для фронта новости Немного матчасти (из того, что доступно в открытых источниках): Планирующая авиационная бомба ПБК-500У СПБЭ-К ""Дрель"" Разработчик: НПО ""Базальт"" Калибр: 500 Длина: 3100 мм Диаметр: 450 мм Масса: 540 кг Количество боевых элементов: 15 ед. (самоприцеливающиеся) Диапазон высоты сброса: 100 м — 14 км Диапазон скорости носителя при сбросе: 700 - 1100 км/ч Дальность применения: 30 - 50 км Корректировка: ГЛОНАСС (и не только) Комплексы защиты самого боеприпаса: ПВО, РЭБ Дальности применения, конечно, хотелось бы побольше. Современные системы ПВО, которыми насытили ВСУ ""партнеры"" из НАТО все-таки будут препятствовать применению ""Дрели"" по тылам, но накидывать их по ЛБС, где противник не развернул соответствующую ПВО — милое дело. Этот боеприпас шел до серийного производства долго, нудно, но все-таки его не ""запороли"", решили все технические задачи и дадут шанс показать себя в боевом применении. Противник очень сильно страдает от бомб с УМПК, но в этом году придется ему еще чаще стоять на коленях после применения ""Дрели"" по побратимам. 👍@wingsofwar",2024-01-10 10:59:18+00:00,wingsofwar/16069,wingsofwar,16069
48,Public,🔥 На этих кадрах – боевая работа танкистов 1-й Славянской мотострелковой бригады 1-го Армейского корпуса. Бойцы работают на Донецком направлении. Экипажи машин Т-72Б3М активно применяют для разведки малогабаритные беспилотные летательные аппараты. ⭐️ Подписаться на Zvezdanews | *️⃣ Предложить новость,2024-01-11 09:52:50+00:00,SolovievLive/233391,SolovievLive,233391
49,Public,"Запорожское направление В районе н.п. Вербовое летают самодельные дроны со сбросами мин и других самодельных взрывных устройств. Быть осторожнее и внимательнее, бояться не нужно. Смотрите в ночник их хорошо видно и стреляйте, их видно хорошо, сбить риальально. Звук дронов объёмный не нужно боять, нужно действовать.",2023-10-30 20:44:41+00:00,DnevnikDesantnika/4383,DnevnikDesantnika,4383
50,Public,Уничтоженный российский танк Т-80БВ рядом с н.п. Кременная Луганской области. https://t.me/zimenkin/1819,2024-02-18 09:25:59+00:00,lost_warinua/65885,lost_warinua,65885
51,Public,Разные варианты штурмовых гранат (зарядом язык не поворачивается назвать) противника. #боеприпасы,2024-02-15 17:10:04+00:00,combat_engineer/5754,combat_engineer,5754
52,Public,"Конфликт стимулировал Россию ускорить развитие беспилотных подводных аппаратов В России разрабатывают новый тяжёлый подводный беспилотный аппарат. В каких направлениях идёт проектирование – об этом в сегодняшнем выпуске. ▪️Подводные беспилотники могут действовать самостоятельно, руководствуясь ИИ. ▪️Второе предназначение дронов – быть помощниками подлодок, управляемых людьми. Подробнее – в нашем видео. @anna_news",2024-02-26 19:31:36+00:00,anna_news/62686,anna_news,62686
53,Public,"🕹 Война дронов: как БПЛА стали неотъемлемой частью боевых действий С развитием технологий тактика ведения боевых действий меняется с каждым месяцем. На смену прямым столкновениям сил пришли точечные удары по позициям противника, в том числе с помощью беспилотных систем. Почему FPV-дроны так эффективны? Во-первых, они осуществляют авиаразведку. С воздуха можно определить все опорные точки противника и корректировать артудар. 💥 Во-вторых, дроны малозаметные из-за своих размеров и высоты полета. Чтобы их перехватить, нужны высокоэффективные системы, которыми обладает малое количество стран мира. В-третьих, беспилотники способны самостоятельно выполнять задачи по уничтожению вражеских объектов. Такая универсальность делает дроны обязательным элементом обеспечения национальной безопасности. Вот почему в Центре «‎ВОИН» уделяется особое внимание оператором беспилотников. А с чего начинается их обучение – смотрите в нашем видео. 📹 ВОИН",2023-10-30 13:30:34+00:00,crvsp2023/720,crvsp2023,720
